eth_address,amended_address,dot_balance,polkadot_address
0x00b46c2526e227482e2EbB8f4C69E4674d262E75,undefined,2667593343000000000,
0x54a2d42a40F51259DedD1978F6c118a0f0Eff078,undefined,1615000000000,
0xdF423fe29aC1331BfcDc8e01f2934A971E4dFB72,undefined,31657000000000,15p5A4sQ1HYUgR4iJnziNH5zk79tETrWW79rFYLZ4imoWweC
0x16b278aD48A9fb2a18f099C210Ef742479fce983,undefined,2638000000000,
0x44e5715F7db1a59DE2af178cDAD023b16E39dA31,undefined,369340969000000000,1WG3jyNqniQMRZGQUc7QD2kVLT8hkRPGMSqAb5XYQM1UDxN
0xcaD1Acfa9151D7Eae13F06ea4d90A0024Cf37301,undefined,30758991000000000,13QUgyeqJrTPE4eD4B2ucEbq1wyNHopjwsnVYTZTyG5CLheq
0x007E917588d7a1392C3604501E00A73565d06845,undefined,50010143000000000,13affyYS7XYa1q14uLtyxbKWk5ghnqRw4aiYjAyRjgYD5yYE
0x00e78DA27c3D7a1ae6ef59A79946d8C77A708319,undefined,9176000000000,
0x56fE408B24e6eBcf0d0230C8f4B7BA25f2C2197b,undefined,297308000000000,
0xc636b16cEE0A7cb4e5dc4662b7D321b772a8c1eC,undefined,187299000000000,
0x65B761631B6F2FcC2c085a544b6602d1317dD94C,undefined,91761000000000,
0x8B655867eE164b797DF4a199F98f745757630bB0,undefined,130209000000000,
0x002c2d84a889DF4BDAB0175A1C4487F67adAcff9,undefined,187193000000000,1vUzcheuNWdcpCDAgfiGqc4f4WpsKPGRic96XdGmSghhsjc
0x3872d74C3dbDdBB0757Cdc78070AFC7A8266b595,undefined,142276000000000,
0x6cc5d8A4f16d0DD7122BC1d2759703EE9013c237,undefined,76572000000000,13mjnUDrHwYGATFB1FkFkZ1U3kYFsAQfHYTdcc8p3HP1xzZA
0xe96aCC7d52aBd264535e1A64a03a9fCE3E238C77,undefined,13360000000000,1hp7wwYrPsrYva14dLk5y7BYu1Gv1xD1VLHx1mNzV8xfBXa
0x8c6778F77B22cEAd996A7Bd73DE2283E38d5aA4A,undefined,91761000000000,
0x648764F0789AfE09B446DB06388edB09D9588Cb0,undefined,22940000000000,
0xf72fce633c6Ff04E9D82d01A79CF7c4E3a54EEcB,undefined,637744000000000,
0x003C6dF13F3c95F12e0f3e2C82E3980D9732558b,undefined,355576000000000,12sjqG8iim4ksRY5rwLxV4nHHhVKXazUJmjA7YrssnFzFxfF
0xBC17fF2DE0B6577AAe386E5bfE8ab7695282A52f,undefined,3859609000000000,15DLJZ4ceN58vEgDiQjK8JsSJuLNBqhUnQ6QCY1QNSjrQntm
0xF00098C1c1c81604a82b903cC34f91436E6A72Ff,undefined,36704000000000,14GGPa7379oSZ2S74fMXL17HWmi3JjKSNNLMz6zE4ijVcRFY
0xEd5b940De6F21fcc6D1168cb78590F9AB6Cd2BA6,undefined,229404000000000,14wqCcCHtVC1RhEGSyxE6WVatKC6vmcp2ZogzFQdVDdBFFGi
0xBa747EC663CA7239cFEfc4BE89639C3CFF6Da31d,undefined,503837000000000,1WAz6R2zc6yKhNjZUSdBryQsZtvS4e7uCnFtD7iYmDfRCcQ
0x1B919a32Ea4ba16c20E24ee83CbDf98b89c94A31,undefined,15276951000000000,16m3TsMPQQn93CwQ1NUekNtyioWQhVSZR91Eqr9aE4g9ibe9
0x24941335e79baAE9751F508e7e95C1dd475B4E31,undefined,8717000000000,
0x00eDF872C332DAEe73E6d6885fed66B03F1885DE,undefined,107471000000000,
0x007eB3537067C48639bCe08b04E4fb52CaF64e9c,undefined,1835234000000000,
0x0C22A65DA50Ff23a3b8e236D586FE7e3e01dDbA5,undefined,917000000000,
0x00951b683E7eedCE3efc6199759eA1aB521FA5B3,undefined,97432000000000,
0x0051ef63e8b9714d239156854c615606CD9eFFDD,undefined,2018000000000,
0x0054FB3c10d0B0228569744734C66321E14C01A1,undefined,45880000000000,
0x00Ac0F75d0D139301DD8D666526B02234220b14A,undefined,137642000000000,
0xcbbEDda51e4c9cfe80F429F6436A53c9738B59DB,undefined,1972877000000000,
0x00328824A4fC0484C8Ff3353c8d2f65BA9E05638,undefined,81428000000000,
0x819669704Eab9A1a1086840Eab684846647B969B,undefined,136476000000000,14QsxS55weeVi7jPxQCVT4bH1sB8KmdNBS1r6gPzQQ7wBKgu
0xE0Ba2BCB31E7789cF711BDb657CC69526bB9a2f7,undefined,1187908000000000,13zgYdN4JKP9MQneS6YRJjazMoSxPdXmXe74FKoKH7UpVeRM
0x3EeA99BeCD232fDc16b87FD8EE370a4d0ff68165,undefined,51261000000000,
0x008550c3B4aF1FA7a4503bc9e55A8622F213138b,undefined,45697000000000,
0x00C8D2f03AF9Ee67f36463eF212e09137800E377,undefined,917617000000000,
0xbDC058e69ad60873787e67fE22Ef40E6a82032e6,undefined,18352000000000,
0x70c853a88DcfDF9996e60D3D33f3002CeDdf46cA,undefined,958910000000000,1EP1PHmnjwpL2X53CToLFJg8UuXqzbuAv3ySXQjkJaCw3Y6
0xeD4629967a1994b2f28B66ca0AD7D5F7bb583EE4,undefined,383013000000000,
0xAFd6e8fdC9E0f3579e0B51f4aF2587141b34aE18,undefined,145937000000000,
0x004AA70BdD021Cf9AaAE7e33fEb7EfB057255266,undefined,10710000000000,
0x008235374c2B0a0FadD61C6BBDde2B9983AF91f4,undefined,13397000000000,
0x50b2C3a213d353c66a2138e3F21A1f909b0A87b8,undefined,11666981000000000,15r6SMb8UVXUmj1Gej9e6DZXv2zqhUiZnejk2roNgyhXj6KC
0x00a43389D6caDa465a26Af74f61C897d1855CA63,undefined,178935000000000,
0x0f2293358C8721Bb10CF8fEF9Fc9704189581CCb,undefined,3028045000000000,
0x00A1B46319BE9163B8AE30DBE506235608a563DC,undefined,2105326000000000,
0x00E0ed608aDB4488cAaa5b7ae3E39f3d7FF7487b,undefined,110114000000000,
0x0Bae10406F82399bAB8c8713aa8F5E0c05c98D84,undefined,3775000000000,
0x00EDd7F8F834Eee9EFF0a602e6CD8C11AB501e4D,undefined,13810000000000,
0xe9133e7d31845D5f2B66A2618792E869311aCf66,undefined,18518526000000000,
0x00Eb8E47A06707a3Dfb17728F8961009Adb88EB8,undefined,8577000000000,15MvD9JUf7R91qSnXG3wg3SbnLyaQPV5R5dbVt67TYtjE2Ex
0x00d0036b211691a8F28A2f159a8dB9D84FD3EEe0,undefined,917617000000000,167m6sRoKcR3EvyYRu5sGstczgEYNnC2qS61AruU3yRxJa7y
0x55a3df57B7AAEC16a162fD5316f35bEC082821CF,undefined,183523000000000,14KBTvMQA8YrDUpDQXNofk36rPe4WN7QsAWzqHW4jgfioZuv
0x9E8B9DC427650bb1136F50aB903b00FDeE88E946,undefined,229679000000000,14GKTC7HaG6GRCpQ5vgexM3Dupi1DYqtRtH8QRQg74gnC2aG
0x22B2d90d35C20A47c6F579fb6603778e7010940b,undefined,117042000000000,
0x3EeF4EbB6697B4b0408d4394A37794b484F3f9fb,undefined,9543000000000,
0x46a1EE4CB00bD3f064E1A02FD5c187E34bf4C97c,undefined,1844410000000000,
0x0074bAC45b84B3067A8A8D7044396275532d72a5,undefined,293637000000000,
0x6503fE6Dc225865a54dCCCa75e9410f53A35B137,undefined,73638000000000,
0xeb9458F5c5FACBBA1a3d21099F8BbeC44D7e3d00,undefined,367230000000000,
0x00882015100D9a8165e33467F695DE68d115A172,undefined,183706000000000,
0xb1e522A1fBFE27aF28b0F198775FD9521588000c,undefined,375305000000000,
0x001AdB13591F0a8AC80d152B8902b0A9E66aA599,undefined,4601850000000000,
0x053E71A33ab7f5250fd4cefe232b2Fd6Ec92B0A4,undefined,78896000000000,
0xC235870dF0ab4d032329925e9f4024a6E753E7a7,undefined,50285000000000,
0xB96841CAbbc7dbd69ef0cf8F81Dff3C8A5E21570,undefined,642332000000000,
0x71a3D6c54338788Dc4da94E34cd9AD2f1d89d7E0,undefined,29914000000000,
0x390bd123181387D8427dF74476627411146A0862,undefined,466149000000000,16kV2cqETuZZX4dhpUc1pd5t2XCo7wGD931DFd2V51CCS3vq
0x38422523da6181fbdA6662269bd301a95686a001,undefined,90059000000000,
0x0710c910d3d8061019f91bB90ccdf607898E135E,undefined,204169000000000,1sZFqMdBAjKv1z9jY9RPaKDaLW8PoKQg632oaAMks2bviWe
0x652346BcBE5e8683ADe954a0b4491A58809fb539,undefined,7340000000000,
0xE1F4258fAd2126CdAAB3266E9Caa82Bd51692980,undefined,262438000000000,
